process_id,rows,start_time,end_time,duration_seconds,temp_min,temp_avg,temp_max,pressure_min,pressure_avg,pressure_max,flow_min,flow_avg,flow_max,total_volume_max,phases
3,160,2026-01-23 13:04:36.624194218+00:00,2026-01-23 13:07:43.052980570+00:00,186.428786,76.4,85.33250000000001,90.5,1.35,4.513,14.85,0.0,152.52975,6775.56,762.16,Brewing
8,113,2026-01-23 18:08:36.639274192+00:00,2026-01-23 18:11:02.958832808+00:00,146.319558,83.0,85.78584070796461,89.4,1.23,4.416283185840708,13.21,0.0,79.88495575221239,4842.72,173.81,Brewing
9,258,2026-01-23 18:14:13.126007843+00:00,2026-01-23 18:20:17.573185644+00:00,364.447177,79.6,89.26046511627908,97.2,0.94,3.635387596899225,13.67,0.0,184.90325581395348,15335.28,545.16,Brewing
10,159,2026-01-23 18:20:18.660265421+00:00,2026-01-23 18:23:34.018754286+00:00,195.358488,81.2,85.937106918239,90.4,1.54,5.596981132075472,14.06,0.0,27.652075471698115,552.24,415.6,Brewing
11,160,2026-01-23 18:25:13.206860709+00:00,2026-01-23 18:28:34.695465589+00:00,201.488604,80.5,85.93625,90.4,1.23,5.591374999999999,14.25,0.0,44.07299999999999,3186.0,579.85,Brewing
12,157,2026-01-23 18:29:19.588022562+00:00,2026-01-23 18:32:35.745076908+00:00,196.157054,81.2,86.44904458598727,90.6,1.6,5.263503184713375,13.98,0.0,22.457579617834394,509.76,102.31,Brewing
13,151,2026-01-23 18:33:23.771897361+00:00,2026-01-23 18:36:25.212941790+00:00,181.441044,79.7,86.19006622516557,90.7,1.66,4.756225165562913,13.67,0.0,27.147814569536425,764.64,230.1,Brewing
14,146,2026-01-24 18:59:07.020591480+00:00,2026-01-24 19:02:07.799127094+00:00,180.778535,79.8,85.72328767123288,90.5,0.39,4.47945205479452,14.1,0.0,50.4813698630137,2208.96,156.11,Brewing
15,148,2026-01-24 19:04:48.999706961+00:00,2026-01-24 19:07:50.431740964+00:00,181.432034,84.0,87.1912162162162,90.4,1.08,4.351824324324324,13.77,0.0,19.804864864864864,446.04,348.69,Brewing
16,118,2026-01-24 19:09:59.964449238+00:00,2026-01-24 19:12:29.681185057+00:00,149.716735,83.2,86.0364406779661,89.6,1.6,4.36135593220339,13.77,0.0,27.9,849.6,515.78,Brewing
17,137,2026-01-24 19:12:30.765786704+00:00,2026-01-24 19:15:45.733811903+00:00,194.968025,83.6,87.86350364963504,97.4,1.45,4.726277372262774,13.62,0.0,20.61985401459854,531.0,634.72,Brewing
18,280,2026-01-24 19:15:58.970269321+00:00,2026-01-24 19:21:05.341444546+00:00,306.371175,88.4,103.94071428571428,121.6,1.08,3.393357142857143,7.92,0.0,45.13499999999999,5501.16,845.35,Brewing
21,137,2026-01-25 20:15:24.333936327+00:00,2026-01-25 20:18:10.743921413+00:00,166.409985,82.5,86.28905109489051,89.6,1.21,6.810948905109489,14.9,0.0,40.46452554744525,1338.12,198.59,Brewing
22,157,2026-01-25 20:19:42.296740340+00:00,2026-01-25 20:22:49.830342728+00:00,187.533602,82.2,86.80191082802547,90.7,1.6,4.387707006369427,13.95,0.0,115.12891719745224,4524.12,817.74,Brewing
24,131,2026-01-25 20:39:40.332121348+00:00,2026-01-25 20:42:27.218454637+00:00,166.886333,81.6,85.92366412213741,90.2,1.35,3.9577099236641216,13.71,0.0,66.4763358778626,1805.4,189.04,Brewing
25,164,2026-01-25 20:42:34.782535485+00:00,2026-01-25 20:45:57.931321067+00:00,203.148785,84.4,87.89634146341463,90.7,1.81,4.811768292682927,13.62,0.0,25.25487804878049,1189.44,295.94,Brewing
27,153,2026-01-26 19:31:18.920182127+00:00,2026-01-26 19:34:30.442880495+00:00,191.522698,81.2,86.79150326797385,90.7,1.26,4.825424836601307,13.79,0.0,29.70823529411765,722.16,604.63,Brewing
28,162,2026-01-26 19:34:48.735270095+00:00,2026-01-26 19:38:25.455806818+00:00,216.720536,81.9,87.93456790123457,96.8,2.18,5.802592592592593,13.86,0.0,22.682222222222222,977.04,740.92,Brewing
35,176,2026-01-28 23:07:33.759085545+00:00,2026-01-28 23:11:31.109821589+00:00,237.350736,82.0,87.34204545454546,95.2,0.55,4.822102272727273,12.73,0.0,28.360227272727272,1295.64,193.64,Brewing
40,135,2026-01-28 23:39:02.758063419+00:00,2026-01-28 23:41:48.211135265+00:00,165.453071,82.8,86.52444444444444,90.2,1.42,5.197185185185186,13.69,0.0,29.736,934.56,148.68,Brewing
41,151,2026-01-28 23:41:49.299242246+00:00,2026-01-28 23:44:53.056512396+00:00,183.75727,82.6,87.1814569536424,90.7,1.16,3.7800000000000007,13.31,0.0,20.2553642384106,446.04,245.32,Brewing
42,123,2026-01-29 17:59:55.411182012+00:00,2026-01-29 18:02:27.274699106+00:00,151.863517,80.8,84.92357723577234,89.4,0.56,4.686097560975609,13.96,0.0,46.2790243902439,2251.44,124.61,Brewing
43,125,2026-01-29 18:04:15.996016134+00:00,2026-01-29 18:07:14.068161047+00:00,178.072144,82.0,86.09439999999998,90.4,1.13,4.61064,13.74,0.0,41.97024,2230.2,133.81,Brewing
44,136,2026-01-29 18:08:10.320892624+00:00,2026-01-29 18:11:08.408314444+00:00,178.087421,81.6,85.7279411764706,90.1,1.71,5.391544117647059,13.88,0.0,37.95088235294118,1104.48,135.94,Brewing
45,123,2026-01-29 18:11:09.483339073+00:00,2026-01-29 18:13:43.466208129+00:00,153.982869,81.5,85.83495934959349,90.2,1.09,4.37821138211382,13.74,0.0,34.36390243902439,785.88,118.94,Brewing
46,155,2026-01-29 18:13:44.540464369+00:00,2026-01-29 18:16:51.077076443+00:00,186.536612,81.0,86.58774193548388,90.7,1.84,4.758129032258065,14.49,0.0,30.695225806451614,1954.08,253.82,Brewing
47,160,2026-01-29 18:17:43.810622282+00:00,2026-01-29 18:20:57.900842130+00:00,194.090219,80.4,86.37125,90.6,1.91,5.392437500000001,13.98,0.0,22.302,467.28,394.71,Brewing
48,146,2026-01-29 18:22:11.149926475+00:00,2026-01-29 18:25:07.962878907+00:00,176.812952,80.8,86.31232876712329,90.7,1.83,11.28280821917808,14.05,0.0,18.330410958904107,424.8,500.2,Brewing
49,150,2026-01-29 18:26:50.265311401+00:00,2026-01-29 18:29:50.364600627+00:00,180.099289,81.6,86.584,90.4,1.42,4.125200000000001,13.54,0.0,52.53359999999999,4885.2,749.77,Brewing
50,117,2026-01-29 23:08:18.601676520+00:00,2026-01-29 23:10:58.660424628+00:00,160.058748,81.5,86.08205128205128,94.9,1.28,6.115042735042734,13.62,0.0,38.30461538461539,977.04,153.99,Brewing
52,141,2026-01-31 01:48:06.308896325+00:00,2026-01-31 01:51:21.488691283+00:00,195.179794,81.6,87.03900709219859,90.3,1.13,4.071347517730496,14.8,0.0,32.08595744680851,1062.0,170.63,Brewing
53,116,2026-01-31 01:52:14.174690178+00:00,2026-01-31 01:54:32.472309447+00:00,138.297619,81.7,86.38017241379309,94.0,1.45,6.536465517241379,14.88,0.0,27.831724137931037,1062.0,266.21,Brewing
55,114,2026-01-31 22:55:28.108078853+00:00,2026-01-31 22:57:58.800119059+00:00,150.69204,80.9,86.52368421052633,96.7,1.43,5.35921052631579,14.41,0.0,30.555789473684207,828.36,247.8,Brewing
56,296,2026-01-31 22:57:59.872456059+00:00,2026-01-31 23:03:16.785445388+00:00,316.912989,84.9,104.0733108108108,118.4,0.65,3.678074324324325,6.14,0.0,38.38986486486486,658.44,437.19,Brewing
57,116,2026-02-02 18:01:30.283011110+00:00,2026-02-02 18:03:51.730626285+00:00,141.447615,80.1,84.68793103448276,88.9,0.99,4.165603448275863,14.0,0.0,36.254482758620696,658.44,110.45,Brewing
58,135,2026-02-02 18:03:52.809752914+00:00,2026-02-02 18:06:40.854911332+00:00,168.045158,83.0,86.79407407407406,90.3,1.98,4.351925925925926,13.93,0.0,142.70133333333334,11427.12,473.3,Brewing
59,157,2026-02-02 18:06:41.926570572+00:00,2026-02-02 18:09:54.267229920+00:00,192.340659,83.1,87.4343949044586,90.6,1.67,4.262292993630574,14.32,0.0,25.70445859872612,1146.96,581.27,Brewing
60,230,2026-02-02 18:11:12.905653262+00:00,2026-02-02 18:15:39.981392955+00:00,267.075739,82.1,86.12695652173912,90.5,0.58,3.2442608695652178,13.88,0.0,29.920695652173915,615.96,740.21,Brewing
61,141,2026-02-03 18:54:56.929304848+00:00,2026-02-03 18:57:55.342615797+00:00,178.41331,82.5,86.33333333333333,90.2,0.84,4.43404255319149,13.77,0.0,30.88085106382979,1486.8,121.78,Brewing
62,165,2026-02-03 18:58:00.770587350+00:00,2026-02-03 19:01:20.225773064+00:00,199.455185,83.2,87.46545454545455,90.7,2.17,4.723030303030303,13.88,0.0,28.06254545454545,2124.0,241.78,Brewing
63,148,2026-02-03 19:03:00.161922319+00:00,2026-02-03 19:06:03.063872062+00:00,182.901949,82.8,86.87702702702703,90.4,1.83,4.906554054054054,13.83,0.0,19.23081081081081,446.04,734.2,Brewing
65,209,2026-02-03 19:24:33.712287030+00:00,2026-02-03 19:28:26.744542039+00:00,233.032255,85.0,96.07894736842104,109.6,0.43,2.407129186602871,5.24,0.0,48.47598086124402,977.04,152.22,Brewing
66,148,2026-02-03 19:28:27.828159057+00:00,2026-02-03 19:31:25.124266007+00:00,177.296106,83.2,86.84594594594596,90.1,0.92,6.326891891891891,14.41,0.0,19.51783783783784,446.04,102.66,Brewing
67,158,2026-02-03 19:35:09.851294743+00:00,2026-02-03 19:38:21.066082370+00:00,191.214787,83.7,87.33164556962024,90.5,1.6,5.079050632911392,14.13,0.0,23.794177215189872,658.44,211.34,Brewing
68,248,2026-02-04 17:42:14.230097135+00:00,2026-02-04 17:47:05.703898758+00:00,291.473801,78.9,84.04153225806452,90.4,1.81,9.991975806451611,14.73,0.0,13.96016129032258,509.76,350.46,Brewing
69,150,2026-02-04 17:51:42.514692889+00:00,2026-02-04 17:54:43.067885578+00:00,180.553192,81.1,86.21866666666666,90.6,1.35,4.240333333333333,14.08,0.0,20.248800000000003,700.92,459.49,Brewing
